         151721284 function calls (150476101 primitive calls) in 251.363 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1732000    1.353    0.000    2.007    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexes\range.py:408(get_loc)
   621660    1.016    0.000    2.006    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\internals\base.py:341(setitem_inplace)
        1    0.092    0.092    1.936    1.936 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:129(calculate_director_stats)
   621793    0.483    0.000    1.877    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\dtypes\common.py:1571(validate_all_hashable)
   624566    1.275    0.000    1.857    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexes\base.py:649(_simple_new)
     2917    1.848    0.001    1.848    0.001 {method 'copy' of 'numpy.ndarray' objects}
  3346444    1.194    0.000    1.814    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\common.py:372(apply_if_callable)
        6    0.001    0.000    1.789    0.298 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:743(group_info)
        6    0.000    0.000    1.788    0.298 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:758(_get_compressed_codes)
        5    1.782    0.356    1.783    0.357 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\reshape\merge.py:2398(_factorize_keys)
       11    0.000    0.000    1.748    0.159 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\grouper.py:689(codes)
        7    0.000    0.000    1.748    0.250 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\grouper.py:777(_codes_and_uniques)
        7    0.023    0.003    1.748    0.250 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\algorithms.py:610(factorize)
   627191    0.709    0.000    1.742    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\series.py:1471(_set_as_cached)
        2    0.000    0.000    1.718    0.859 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:622(_get_splitter)
  1732000    1.458    0.000    1.717    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2562(_axes_are_unique)
       66    0.000    0.000    1.717    0.026 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\internals\blocks.py:790(copy)
   621678    0.230    0.000    1.713    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\series.py:914(__len__)
        9    1.657    0.184    1.657    0.184 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\shape_base.py:219(vstack)
        3    0.000    0.000    1.644    0.548 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:687(codes)
   621658    0.419    0.000    1.595    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pycountry\db.py:46(load_if_needed)
   619479    0.248    0.000    1.517    0.000 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:69(get_population)
  1864974    0.803    0.000    1.497    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2531(<genexpr>)
       18    0.000    0.000    1.457    0.081 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\generic.py:6662(copy)
622021/622016    0.475    0.000    1.396    0.000 {built-in method builtins.all}
        3    0.034    0.011    1.396    0.465 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\reshape\merge.py:1736(<genexpr>)
   132974    0.245    0.000    1.320    0.000 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:41(most_frequent_region)
   619479    0.269    0.000    1.269    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pypopulation\implementation.py:42(get_population)
       31    1.262    0.041    1.262    0.041 {method 'argsort' of 'numpy.ndarray' objects}
